Section,Subsection,Section Title,Template Type,Column,Text,id,image_url
2,,D3,Text,1,<h1>Identification of disparities in energy access </h1><h1>3</h1><h6>M&E frameworks for different types of projects and programs</h6>,,
2,,G2,Text,2,"<h1>Below we present real-world examples of how energy data has been used to evaluate three specific SDG7 indicators.  </h1><h4> The World Bank has used data on the proportion of each country’s population with access to electricity9. The following figure shows a heat map of North Africa and Europe with data on access to electricity from 2021. We see from the map that Morocco, Algeria, Egypt and most of Europe have more than 78% of population with access to electricity. However, Libya has 71% and Mauritania has only 48%.

To assess the status of renewable energy adoption, the IEA and the UN Statistics Division (UNSD) collect data on the share of renewable energy in total final energy consumption for each country. The graph below shows the trend over time for different global regions10. It is evident from the graph that Sub-Saharan Africa has had consistently over 60% renewable energy adoption in the last 30 years. In contrast, every other region hasn’t had more than 40% share of renewable energy in total final energy consumption. </h4><h6>Data on the share of renewable energy</h6><h6>Real world examples of data use</h6><h6>graph_1: access to electricity</h6>",,https://raw.githubusercontent.com/UNDP-Data/dsc-energy-academy-pipeline/main/03_Inputs/Graphics/Module2/graph_1.png
2,,G7,Text,3,"<h1>In 2018, the electricity grid around Malå, Sweden, was enhanced with an AI powered Smart Grid Surveillance system developed by Exeri. </h1><h1>202311</h1><h6>Energy Storage Machine</h6><h6>graph_2: line trend</h6>",,https://raw.githubusercontent.com/UNDP-Data/dsc-energy-academy-pipeline/main/03_Inputs/Graphics/Module2/graph_2.png
2,,G8,Text,4,"<h2>To assess any progress in energy efficiency improvements, countries collect data on energy supply, GDP and energy intensity. Energy intensity is the amount of energy needed to produce one unit of economic output. A low value means that economies use energy in a less energy-intensive way and a high value means economies use energy in a more energy-intensive way. The following figure is taken from the SDG7 progress report for 202311 and it shows the trends since 1990 of GDP, total energy supply and primary energy intensity. The graph shows that the overall trend since 1990 is that GDP has grown fast, and total energy supply has grown as well albeit not as quickly. Primary energy intensity has decreased which indicates an improvement in energy efficiency over time. </h2><h6>graph_3: global trend</h6>",,https://raw.githubusercontent.com/UNDP-Data/dsc-energy-academy-pipeline/main/03_Inputs/Graphics/Module2/graph_3.png
2,,P4-1200/1,Text,5,<h1>Reliability & Accuracy of Data</h1><h1>C</h1><h6>image_21: energy</h6>,,https://raw.githubusercontent.com/UNDP-Data/dsc-energy-academy-pipeline/main/03_Inputs/Images/image_21.png
2,,P2-600/1,Text,6,<h4>image_8: person in a circle</h4>,,https://raw.githubusercontent.com/UNDP-Data/dsc-energy-academy-pipeline/main/03_Inputs/Images/image_8.png
2,,T14,Text,7,"<h1>The fundamental principle of data</h1><h4>Principle 1. Official statistics provide an indispensable element in the information system of a democratic society, serving the Government, the economy and the public with data about the economic, demographic, social and environmental situation. To this end, official statistics that meet the test of practical utility are to be compiled and made available on an impartial basis by official statistical agencies to honour citizens’ entitlement to public information.  
 
Principle 2. To retain trust in official statistics, the statistical agencies need to decide according to strictly professional considerations, including scientific principles and professional ethics, on the methods and procedures for the collection, processing, storage and presentation of statistical data.  
 
Principle 3. To facilitate a correct interpretation of the data, the statistical agencies are to present information according to scientific standards on the sources, methods and procedures of the statistics.  
 
Principle 4. The statistical agencies are entitled to comment on erroneous interpretation and misuse of statistics.  
 
Principle 5. Data for statistical purposes may be drawn from all types of sources, be they statistical surveys or administrative records. Statistical agencies are to choose the source with regard to quality, timeliness, costs and the burden on respondents.  
 
Principle 6. Individual data collected by statistical agencies for statistical compilation, whether they refer to natural or legal persons, are to be strictly confidential and used exclusively for statistical purposes.  
 
Principle 7. The laws, regulations and measures under which the statistical systems operate are to be made public.  
 
Principle 8. Coordination among statistical agencies within countries is essential to achieve consistency and efficiency in the statistical system.  
 
Principle 9. The use by statistical agencies in each country of international concepts, classifications and methods promotes the consistency and efficiency of statistical systems at all official levels.  
 
Principle 10. Bilateral and multilateral cooperation in statistics contributes to the improvement of systems of official statistics in all countries. </h4><h6>The United Nations Fundamental Principles of Official Data </h6>",,
2,,G5,Text,8,"<h6>graph_4: The UN Fundamental Principles of Official Data</h6><h1>The importance of reliable, up-to-date, and accurate data in sustainable energy. </h1>",,https://raw.githubusercontent.com/UNDP-Data/dsc-energy-academy-pipeline/main/03_Inputs/Graphics/Module2/graph_4.png
2,,P2-600/1,Text,9,<h1>2</h1><h6>image_22: solar panel</h6>,,https://raw.githubusercontent.com/UNDP-Data/dsc-energy-academy-pipeline/main/03_Inputs/Images/image_22.png
2,,T3,Text,10,"<h4>Data quality is key for an effective policy formulation cycle and evidence-based decision-making. Decisions on the deployment of sustainable energy and development of strategies need to be well-founded and in the context of energy data this means data fit for purpose. In order to ensure that data is trustworthy, it is important to understand the following five key dimensions of data quality to assess how the data is “bad” in the first place13: 
 
1. Relevance- The relevance of statistical information reflects the degree to which the information meets or satisfies the current and/or emerging needs of key users. 
 
2. Accuracy and reliability- The accuracy of data reflects the degree to which the information correctly estimates or describes the phenomena it was designed to measure, i.e. the degree of closeness of estimates to true values. Reliability is an aspect of accuracy. It concerns whether the statistics consistently measure over time the reality they are designed to represent. 
 
3. Timeliness and punctuality- Timeliness of information refers to the length of time between the end of the reference period to which the information relates and its availability to users. 
 
4. Coherence and comparability- The coherence of energy statistics reflects the degree to which the data are logically connected and mutually consistent the degree to which they can be successfully brought together with other statistical information within a broad analytic framework over time. Comparability is a measurement of the impact of differences in applied statistical concepts, measurement tools and procedures when statistics are compared between geographical areas or over time. 
 
5. Accessibility and clarity- Accessibility of information refers to the ease with which users can learn of its existence and locate and import it into their own working environment. Clarity refers to the extent to which easily comprehensible metadata are available in cases where the metadata are necessary to give a full understanding of the statistics. </h4><h6>Results-based management life-cycle approach</h6>",,
