json_path,sentence_idx,sentence_text,sentence_hash
"['segments', 0, 'content', 'title']",0,Scored quiz <br/><strong>Module 5</strong>,f02767d4c42229007695fdcfbd236b4768c1a52cedf1bb0423a4b8e5dfbb00cd
"['segments', 0, 'content', 'intro']",0,This quiz covers all the lessons in this module.,de042818b2bd383a52f743ae34bb8f79ca794d18103a41a80f4f991247c08549
"['segments', 0, 'content', 'intro']",1,You must achieve 80% to pass.,6beef70e01a309ba06162ca97da81e59a2e856dcc8a53c867061bd009c75cc07
"['segments', 0, 'content', 'intro']",2,Good luck!,853d0afd9c941f2ab62cd22ac74c341b0a2463184d18904870b796628f313cfc
"['segments', 0, 'content', 'labels', 'correct']",0,Correct,aca01a1a3a27d35c264a8104b0f2817aa31a8a29f8eec1e6cceddc6ac208c723
"['segments', 0, 'content', 'labels', 'question']",0,Question,289aff12b04274cb04b8f7dbf486ba8b3528c6fd16b60b9a31d31ce23b339236
"['segments', 0, 'content', 'labels', 'result']",0,Quiz Result,61e75c19cb3b46035f614a4c8a5cd42751177120ebd0e5b14c792830ede9418a
"['segments', 0, 'content', 'labels', 'score']",0,Your score,5f49fcc8ddf7cde23eaaaf70b2f470cc982c6fe64a4f2fcbd246ef52baea6200
"['segments', 0, 'content', 'labels', 'passingScore']",0,Minimum passing score,49326703cff45e3b29ae10c9158d889000c9c25a805bc3a71d2b78394948e441
"['segments', 0, 'content', 'labels', 'startButton']",0,Start Quiz,56628cf8456967189d6b9c687e1723ee4d51c6434309cacc9acef434f9588830
"['segments', 0, 'content', 'labels', 'nextButton']",0,Next,1ff57a29d7c9d11bdf61c1b80f2b289b44c1ea844824d4b94a0d52b6ba5fc858
"['segments', 0, 'content', 'labels', 'submitButton']",0,Submit,155f816c0407310c0dab222493370773e045ee7fe04e6c9a951b07f495531264
"['segments', 0, 'content', 'labels', 'retryButton']",0,Replay,c8dae6371b33b8d67fdbd138fd28e89eefbd7af6b764f282b0872812b06a150c
"['segments', 0, 'content', 'labels', 'passed']",0,Passed,436fe71bb9561f0596161c4d50c7b23327b4189acaf63dc89f4f9205b67a7528
"['segments', 0, 'content', 'labels', 'failed']",0,Not passed,519157af297e57fa19d15f005c62b22f2f97afcdfbda8934896c0ce7266591ce
"['segments', 0, 'content', 'questions', 0, 'prompt']",0,What are the three key principles of effective energy governance discussed in the module?,e41e309a8d42bbebdb532274b323d22b15ccbb3f64703bdef832455cd0d51913
"['segments', 0, 'content', 'questions', 0, 'options', 0, 'value']",0,"Effectiveness, Efficiency, and Equity",956198448f7f9c7b9cd2c22be520a4f5f4e22f345aed119b2abae550101185be
"['segments', 0, 'content', 'questions', 0, 'options', 1, 'value']",0,"Accountability, Inclusiveness, and Effectiveness",3a5bfd911bb362367b9f846d4c5e6d8cc41a6e2702ba37e77f6d4cd61941d9f6
"['segments', 0, 'content', 'questions', 0, 'options', 2, 'value']",0,"Affordability, Sustainability, and Resilience",2c383a124dddd3e8591c8bc6427334f3ca0d66cae867ab6abf07d5a6a2aa0aa7
"['segments', 0, 'content', 'questions', 0, 'options', 3, 'value']",0,"Participation, Enforcement, and Integrity",516316d9fd469027cfbe2dbb65fece02ea4d2f73665a4b8b5ec06f8cb569c05b
"['segments', 0, 'content', 'questions', 0, 'messages', 'correct', 'title']",0,Correct,aca01a1a3a27d35c264a8104b0f2817aa31a8a29f8eec1e6cceddc6ac208c723
"['segments', 0, 'content', 'questions', 0, 'messages', 'correct', 'body']",0,"Effectiveness, accountability, and inclusiveness ensure energy policies are sound, fair, and participatory.",bcca02124505c0a2c82b8b9669801d9940692b30560b05ee452a7218148e3c49
"['segments', 0, 'content', 'questions', 0, 'messages', 'wrong', 'title']",0,Incorrect,a8a57dbc076774bf9ccc791d7f0d74fada5e36e20004eb080d5de7773ba17de2
"['segments', 0, 'content', 'questions', 0, 'messages', 'wrong', 'body']",0,"Effectiveness, accountability, and inclusiveness ensure energy policies are sound, fair, and participatory.",bcca02124505c0a2c82b8b9669801d9940692b30560b05ee452a7218148e3c49
"['segments', 0, 'content', 'questions', 1, 'prompt']",0,Which of the following best defines energy governance?,ce44b2e01e534c46806a8a9725263244d8ddebeb015c05125305c296fda19e00
"['segments', 0, 'content', 'questions', 1, 'options', 0, 'value']",0,The enforcement of environmental regulations by government institutions,e4cfc5c7bebc5f66fcedc5a4388b9546856705ba6991a3ebad8728c4166bb022
"['segments', 0, 'content', 'questions', 1, 'options', 1, 'value']",0,The management of climate financing mechanisms through public policy,c45ad6d3e827c2ea65d820c778b39e5674144b6676e649e1eefdd025bdf26fb6
"['segments', 0, 'content', 'questions', 1, 'options', 2, 'value']",0,"The exercise of authority to manage the planning, production, and access to energy",a70955b5d8ee18d49829e01ac1a93dcaed5b7a28c90b36f3b7f81e3f637c9ad7
"['segments', 0, 'content', 'questions', 1, 'options', 3, 'value']",0,The use of technology to reduce carbon emissions in energy systems,96f8812ffdf6dd2ee41e74225a2d6010597330c8af72073cca7b62e73079004e
"['segments', 0, 'content', 'questions', 1, 'messages', 'correct', 'title']",0,Correct,aca01a1a3a27d35c264a8104b0f2817aa31a8a29f8eec1e6cceddc6ac208c723
"['segments', 0, 'content', 'questions', 1, 'messages', 'correct', 'body']",0,"Energy governance involves political, economic, and social authority over energy decisions.",541c91f9554f30c98920cd52ff4b8a25976fa5b56b24964cdd3a948cdffcb174
"['segments', 0, 'content', 'questions', 1, 'messages', 'wrong', 'title']",0,Incorrect,a8a57dbc076774bf9ccc791d7f0d74fada5e36e20004eb080d5de7773ba17de2
"['segments', 0, 'content', 'questions', 1, 'messages', 'wrong', 'body']",0,"Energy governance involves political, economic, and social authority over energy decisions.",541c91f9554f30c98920cd52ff4b8a25976fa5b56b24964cdd3a948cdffcb174
"['segments', 0, 'content', 'questions', 2, 'prompt']",0,Why is energy governance critical in achieving a just energy transition?,db228241aa79a5f08c9c524fc0cdfbd20ec92b3f614253f52bd68374f2b2869a
"['segments', 0, 'content', 'questions', 2, 'options', 0, 'value']",0,It ensures new technologies are patented fairly,c02a1068720e6af33b5372076f31d61e891d4ef76464acfb4225f3a7f8ba9d41
"['segments', 0, 'content', 'questions', 2, 'options', 1, 'value']",0,It controls global emissions through a single regulatory agency,b0dac6fd2b7c07d02b262cd86701825481391d5012e30e4004137d512eb2c429
"['segments', 0, 'content', 'questions', 2, 'options', 2, 'value']",0,"It shapes how decisions are made, trade-offs are managed, and policies are implemented",ac4913b9b02cea07d90ae7f275a23a6bd810815016b44ebf0edbbbaaf820e82a
"['segments', 0, 'content', 'questions', 2, 'options', 3, 'value']",0,It focuses solely on reducing fossil fuel subsidies,0501078a973945b2d24e0366a64237086c9ca76965565fcfd4df666895bf6291
"['segments', 0, 'content', 'questions', 2, 'messages', 'correct', 'title']",0,Correct,aca01a1a3a27d35c264a8104b0f2817aa31a8a29f8eec1e6cceddc6ac208c723
"['segments', 0, 'content', 'questions', 2, 'messages', 'correct', 'body']",0,"Governance shapes policies and implementation, crucial for managing transition trade-offs.",5bd1ac14b03f0a109142e15f976c292e1dbb6a9bdc81290f2a80e46a2c4253ee
"['segments', 0, 'content', 'questions', 2, 'messages', 'wrong', 'title']",0,Incorrect,a8a57dbc076774bf9ccc791d7f0d74fada5e36e20004eb080d5de7773ba17de2
