Lesson,Resource #,Title,Description (60 words max),Link,Source
1.1.1,1,"Tracking SDG7: The Energy Progress Report, 2024","Since its inception in 2018, Tracking SDG 7: The Energy Progress Report has become the global reference for information on progress toward the achievement of Sustainable Development Goal 7 (SDG 7) of the UN 2030 Agenda for Sustainable Development. The report is produced annually by the five custodian agencies responsible for tracking progress toward the goal.",https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2024,"IEA, IRENA, UNSD, World Bank, WHO"
1.1.1,2,World Energy Outlook 2023,"The World Energy Outlook 2023 provides in-depth analysis and strategic insights into every aspect of the global energy system. Against a backdrop of geopolitical tensions and fragile energy markets, this year�s report explores how structural shifts in economies and in energy use are shifting the way that the world meets rising demand for energy. ",https://www.iea.org/reports/world-energy-outlook-2023,IEA
1.1.1,3,World Energy Transitions Outlook 2024,"The 2024 Outlook provides an overview of progress by tracking implementation and gaps across all energy sectors, and identifies priority areas and actions based on available technologies that must be realised by 2030 to achieve net zero emissions by mid-century.",https://www.irena.org/Publications/2024/Nov/World-Energy-Transitions-Outlook-2024,IRENA
1.1.2,1,Global Landscape of Renewable Energy Finance 2023,"Climate Finance, Investment Trends, Renewable Energy Growth",https://www.irena.org/Publications/2023/Feb/Global-landscape-of-renewable-energy-finance-2023,IRENA
1.1.2,2,Innovation Landscape for Smart Electrification,"Smart Grids, Renewable Energy, Digitalization",https://www.irena.org/Publications/2023/Jun/Innovation-landscape-for-smart-electrification,IRENA
1.1.2,3,Renewable Energy and Jobs: Annual Review 2023,"Employment landscape within the renewable energy sector, including job creation and workforce developments",https://www.irena.org/Publications/2023/Sep/Renewable-energy-and-jobs-Annual-review-2023,IRENA
1.1.3,1,Achieving Universal Access by 2030 and Net-Zero Emissions by 2050,"Universal access to clean cooking solutions by 2030, Pathways to achieving net-zero emissions by 2050 in the cooking sector, Ensuring an equitable and inclusive transition, Technological innovation and advancements, Health and environmental benefits ",https://sdgs.un.org/sites/default/files/2023-07/Achieving%20Universal%20Access%20by%202030%20and%20Net-Zero%20Emissions%20by%202050%20-%20A%20Global%20Roadmap%20for%20Just%20and%20Inclusive%20Clean%20Cooking%20Transition-072623.pdf?_gl=1*1rosjlz*_ga*MTMxMDE1ODkxMi4xNzIxMjA5NzY0*_ga_TK9BQL5X7Z*MTcyMjQzNTAwNS4yLjEuMTcyMjQzNTA3NS4wLjAuMA..,UN
1.1.3,2,SDG7: Data and Projections,"Universal Energy Access, Sustainable Development, Policy Progress",https://www.iea.org/reports/sdg7-data-and-projections,IEA
1.1.3,3,"Electricity and Education: The Benefits, Barriers, and Recommendations for Achieving Universal Electrification for Schools","Education, Electricity Access, Renewable Energy, Energy Equity, Development Policy",https://un-energy.org/wp-content/uploads/2017/01/1608Electricity-and-Education.pdf,United Nations Department of Economic and Social Affairs
1.1.4,1,Financing The 2030 Agenda,"Financing Sustainable Development Goals (SDGs), Resource Mobilization Strategies, Public and Private Sector Engagement, International Development Cooperation, Innovative Financing Mechanisms",https://www.undp.org/sites/g/files/zskgke326/files/publications/Financing_the_2030_Agenda_CO_Guidebook.pdf,UNDP
1.1.4,2,Clean Cooking Alliance 2024 Annual Report,"Promotion of clean and sustainable energy solutions, advancements in renewable energy integration, energy access expansion, energy efficiency improvements, and the role of policy and finance in supporting energy transitions.",https://www.cepal.org/en/pressreleases/current-pace-only-23-sustainable-development-goal-targets-will-be-achieved-2030-latin,Forbes
1.1.4,3,Financing for Sustainable Development Report 2022 - Bridging the Finance Divide,"Financing Sustainable Development Goals (SDGs), Global Economic Trends, Public and Private Sector Investment,
Climate Finance and Environmental Sustainability, Challenges in Development Finance",https://unctad.org/publication/financing-sustainable-development-report-2022,United Nations
1.2.1,1,A Vision for Clean Cooking Access for All,"Clean cooking, energy access, health impacts, sustainable development",https://www.iea.org/reports/a-vision-for-clean-cooking-access-for-all,IEA
1.2.1,2,Clean Cooking Alliance 2024 Annual Report,"Clean Cooking, Renewable Energy, Annual Report",https://cleancooking.org/news/clean-cooking-alliance-releases-2024-annual-report/,Clean Cooking Alliance
1.2.1,3,Electricity 2025,"Global Electricity Demand Trends, Renewable Energy Growth, Electricity Security & Grid Resilience, Fossil Fuels vs. Clean Energy, Regional Electricity Market Analysis",https://www.iea.org/reports/electricity-2025,IEA
1.2.2,1,UN Energy Compacts,"The Energy Compacts are voluntary, trackable commitments launched at the High-Level Dialogue on Energy convened by the UN Secretary-General in September 2021. The Energy Compacts are designed to spur action towards SDG7 in line with net-zero goals. Commitments were submitted by governments, corporations, international organizations, philanthropies, and a range of other stakeholders towards achieving SDG7 and the clean energy transition.",https://www.un.org/sites/un2.un.org/files/energycompacts-annual-progress-report2024-007_compressed.pdf,UN
1.2.2,2,"Position Paper: Off-Grid Renewable Energies to Achieve SDG 7 and SDG 13 – Cheaper, Cleaner, and Smarter","Renewable Energy, Sustainable Development Goals (SDG 7 & 13), Economic Development, Health Care, Energy AccessIncentives and Support, Health Care, Economic Developmemt",https://www.ruralelec.org/publication/position-paper-off-grid-renewable-energies-to-achieve-sdg-7-and-sdg-13-cheaper-cleaner-and-smarter/,Alliance for Rural Electrification
1.2.2,3,2023 Policy Briefs in Support of the High-Level Political Forum,"Policy recommendations and actions for the High-Level Political Forum, Sustainable Development Goals (SDGs) progress and challenges, Key areas of focus for achieving SDG targets, Strategies for enhancing global and national policies.",https://sdgs.un.org/sites/default/files/2023-07/2023%20Policy%20Briefs%20in%20Support%20of%20the%20High-Level%20Political%20Forum-071023.pdf?_gl=1*16t6zhv*_ga*MTMxMDE1ODkxMi4xNzIxMjA5NzY0*_ga_TK9BQL5X7Z*MTcyMjQzNTAwNS4yLjEuMTcyMjQzNTA4Ni4wLjAuMA..,UN
1.2.3,1,Policies for Sustainable Energy & Energy Efficiency,"Energy Policies, Sustainable Energy, Energy Efficiency, Renewable Energy",https://www.esmap.org/node/137960,ESMAP
1.2.3,2,Energy Efficiency 2022,"Energy efficiency policies, technology advancements, emissions reduction",https://www.iea.org/reports/energy-efficiency-2022,IEA
1.2.3,3,Energy Efficiency: The Decade for Action,"Energy efficiency, policy actions, technological innovations, carbon reduction",https://www.iea.org/reports/energy-efficiency-the-decade-for-action,IEA
1.2.4,1,Coal Transition and the Need for a System-Wide Approach,"Energy Transition, Sustainable Energy, Climate Change, Coal Phase-Out",https://www.carbontrust.com/en-eu/news-and-insights/insights/coal-transition-and-the-need-for-a-system-wide-approach,Carbon Trust
1.2.4,2,The energy transition demands an energetic approach,"Expanding renewables, Transforming conventional power, Strengthening electrical grids, Driving industrial decarbonization, Securing the supply chain and necessary minerals",https://www.siemens-energy.com/global/en/home/actions.html?gclid=CjwKCAjwqre1BhAqEiwA7g9QhoyQCOgrllLqAuLkpgOhBX28cA5xHWYpkaQAAiZbG4tS3stXqb6C-BoCWDAQAvD_BwE&gad_source=1,Seimens Energy
1.2.4,3,Fossil Fuel Subsidies in Clean Energy Transitions: Time for a New Approach,"Fossil fuel subsidies, energy transitions, clean energy, policy reforms",https://www.iea.org/reports/fossil-fuel-subsidies-in-clean-energy-transitions-time-for-a-new-approach,IEA
1.3.1,1,"At the Current Pace, Only 23% of the Sustainable Development Goal Targets Will Be Achieved by 2030 in Latin America and the Caribbean","SDGs, Latin America, Caribbean, sustainable development, development challenges",https://www.cepal.org/en/pressreleases/current-pace-only-23-sustainable-development-goal-targets-will-be-achieved-2030-latin,Economic Commission for Latin America and the Caribbean
1.3.1,2,Sustainable Energy Policies in Latin America and the Caribbean,"Sustainable Energy, Renewable Energy Development, Policy Frameworks, Regional Cooperation",http://www.unece.org/index.php?id=41058,UNECLAC
1.3.1,3,Natural Resources in Latin America and the Caribbean - No.4,"Energy Transition, Renewable Energy, Energy Efficiency, Policy Frameworks.",https://repositorio.cepal.org/entities/publication/92302718-7d39-442a-8ef7-de6bbafdbf3d,UN ECLAC
1.3.2,1,Renewable Energy and Sustainability Report 2023,"Clean cooking, energy access, health impacts, sustainable development",https://www.irena.org/Energy-Transition/Planning/SPLAT-Models-for-Africa,IEA
1.3.2,2,World Bank Unveils Major Initiative to Scale Up Energy Efficiency in Europe and Central Asia,"Energy Efficiency, Regional Energy Initiatives, Policy and Financial Support, Europe and Central Asia","https://www.worldbank.org/en/news/press-release/2024/06/25/world-bank-unveils-major-initiative-to-scale-up-energy-efficiency-in-europe-and-central-asia#:~:text=WASHINGTON%2C%20June%2027%2C%202024%E2%80%94,across%20Europe%20and%20Central%20Asia.",World Bank
1.3.2,3,Toward a Framework for a Sustainable Heating Transition in Eastern and Central Asia,"Sustainable Heating, Clean Energy, Energy Policy, Business Models, Government Support",https://www.esmap.org/Toward_a_Framework_for_Sustainable_Heating_Transition_ECA,ESMAP
1.3.3,1,Clean Cooking Alliance 2024 Annual Report,"Coal-to-clean transition, power sector, decarbonization, energy policy",https://www.theclimategroup.org/sites/default/files/2023-03/Climate%20Group%20-%20EP100%20-%20Progress%20and%20Insights%20Report%20FINAL%2022.pdf,United Nations Economic and Social Commission for Asia and the Pacific
1.3.3,2,Renewable Energy Benefits: Leveraging Local Capacity for Concentrated Solar Power,"Global Trends in the CSP Sector, Policy and Investment Strategies",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jan/IRENA_Renewable_energy_benefits_leveraging_capacity_CSP_2025.pdf,IRENA
1.3.3,3,Accerlating the Energy Transition in Emerging Markets – Strategies for Unlocking Investment,"Power system reform, renewable energy grid integration, policy measures",https://sustainabledevelopment.un.org/content/documents/1272A%20Survey%20of%20International%20Activities%20in%20Energy%20Access%20and%20Electrification.pdf,World Economic Forum
1.3.4,1,Regional trends report 2024 : energy connectivity for sustainable development in Asia and the Pacific,"Energy Connectivity, Sustainable Development, Regional Energy Trends, Renewable Energy Integration, Energy Access & Security, Cross-Border Energy Cooperation, Policy & Regulatory Frameworks, Decarbonization in Asia-Pacific",https://www.unescap.org/kp/2024/regional-trends-report-2024-energy-connectivity-sustainable-development-asia-and-pacific,United Nations Economic and Social Commission for Asia and the Pacific
1.3.4,2,Asia-Pacific Progress in Sustainable Energy,"Progress on Sustainable Development Goal 7 (SDG 7) in the Asia-Pacific region, Energy access and electrification rates, Renewable energy adoption and trends, Energy efficiency improvements, Regional challenges and opportunities in achieving SDG 7",https://trackingsdg7.esmap.org/data/files/download-documents/asia-pacific_regional_gtf_2017_report.pdf,ESCAP
