json_path,sentence_idx,sentence_text,sentence_hash
"['segments', 0, 'content', 'lesson', 'label']",0,Lesson,6e2b26d9de4033b952bd242f69b798420ee887151b937f394efc23252c78af74
"['segments', 0, 'content', 'title']",0,The Changing Landscape of Energy Supply,1361036754df789a432549351ccb05e46cf0a68a1aa7c0e43821997984ef01bf
"['segments', 0, 'content', 'intro']",0,M8: Renewable Energy Technologies and Innovations,9aca97d3c707385b9def923d77a2c62173cbd4c606fc50e6776b06f4a9756b07
"['segments', 1, 'content', 'text_elements', 0, 'content', 'text']",0,<strong>Lesson 2 Overview</strong>,cbd93531c3d07968c77264635336e16f6305632a733972cc29b5910fcbf562fe
"['segments', 1, 'content', 'text_elements', 1, 'content', 'text']",0,"This lesson explores the rapidly evolving landscape of global energy supply, influenced by the rise of renewables, shifting roles of fossil fuels and nuclear power, and the emergence of new energy carriers like green hydrogen.<br /><br /> It explains how market trends, technological progress, and geopolitical dynamics are transforming where and how energy is sourced, produced, and delivered.",90865d7b9aabd497d590de0cb4c0f1bb704c66c0ae3b1c1c7256e03ba7871b80
"['segments', 1, 'content', 'text_elements', 1, 'content', 'text']",1,"<br /><br />Learners will gain insight into the expanding role of solar and wind, the uneven evolution of fossil fuels, the changing role of nuclear, and the promise and pitfalls of hydrogen in developing economies.<br /><br /> The lesson also highlights critical supply-side challenges from grid integration and mineral dependency to energy security risks.",030f0e8e1ae12358fbea7f41e4a86b573f94c15094b0b82d8504b4f940138691
"['segments', 1, 'content', 'text_elements', 1, 'content', 'text']",2,This will provide a forward-looking perspective on how energy systems must adapt to meet global climate and development goals.,ba92dd6a68056a3713f2d1e12fd4ccba462e3860ca386effd4666027f174d80c
"['segments', 2, 'content', 'title']",0,Key Concepts,c2d735625914769cfb8da9d0483242e8ce2a4073e84e15c58f7d94895e619c80
"['segments', 2, 'content', 'intro']",0,Explore foundational ideas from this lesson.,e59e16c52ecd6c20b01ba55d715e8c86959b4d565ebcedc9a031dbe2fa71b01f
"['segments', 3, 'content', 'intro']",0,M8: Renewable Energy Technologies and Innovations,9aca97d3c707385b9def923d77a2c62173cbd4c606fc50e6776b06f4a9756b07
