json_path,sentence_idx,sentence_text,sentence_hash
"['segments', 0, 'content', 'intro']",0,M1: Introduction to Sustainable Energy System Transformation,6bf2c702d4e3ac9f44497b00ce2b69d6c6dba17ad3530bd948ce00d0ac6fec6a
"['segments', 0, 'content', 'title']",0,Welcome to the Sustainable Energy Academy!,f8b386df972d196e4add02348eaa8a80ab74685d3761ee2717c380130f3b83aa
"['segments', 1, 'content', 'text_elements', 0, 'content', 'text']",0,<strong>Welcome to the Sustainable Energy Academy!</strong>,f8b386df972d196e4add02348eaa8a80ab74685d3761ee2717c380130f3b83aa
"['segments', 1, 'content', 'text_elements', 1, 'content', 'text']",0,The Sustainable Energy Academy is a <strong>training and knowledge-exchange mechanism</strong> developed by the United Nations Development Programme (UNDP) to support the transition to sustainable energy worldwide.,6793501b08a57335b01a04eca46202319cdb665163491d0e2c07788a8ddc54c4
"['segments', 1, 'content', 'text_elements', 1, 'content', 'text']",1,"<br /><br />This lesson describes the Academy's Objectives, Target Learners, Core Content and Programme Strategy.<br /><br />UNDP works with partners in developing countries to advance sustainable and low-carbon energy transition.",55a5c643671876214eb2455075dfc7292ee143cf941bafefc6e76ce8a23ab81a
"['segments', 1, 'content', 'text_elements', 1, 'content', 'text']",2,"This work is anchored by its <a href=""https://www.undp.org/publications/undp-strategic-plan-2022-2025""><strong><u>Strategic Plan 2022-2025</u></strong></a><strong>.",4a3caffb6778bc20ae88357dd1f874eea56831a33e78da46228da0972927f396
"['segments', 1, 'content', 'text_elements', 1, 'content', 'text']",3,"</strong><br /> <br />Energy – along with poverty and inequality, governance, resilience, environment, and gender equality – are <strong>among the six signature solutions of the Strategic Plan.</strong> Together, the signature solutions represent UNDP’s vision to accelerate progress on the Sustainable Development Goals (SDGs).",53771a8750f67f3d0e5ed1c111a01c5247606e49571f39419f6108ae8bf6f874
"['segments', 1, 'content', 'text_elements', 1, 'content', 'text']",4,<br /> <br />This chapter provides more details on UNDP's Sustainable Energy Academy initiative.,d1e588ccd04a20d3f8718ec0ccb1e49cdeba3b42237d5aacec5726caf10860ba
"['segments', 3, 'content', 'text_elements', 0, 'content', 'text']",0,"<strong>The Sustainable Energy Academy aims to create concrete impact on the ground by providing countries with tailor-made capacity building and a strong global community of experts and practitioners on energy as an enabler for development.<br /></strong><br />The Academy will connect <ai prompt=""Explain energy for development."">energy for development 💬️</ai> with nexus topics such as social protection and employment, policy and governance, climate change, energy security, gender equality, finance, technology and data, water management and food resilience.",414c4ef98d24db5e395ece4338a0bc1147d001df795d7d5d416d8110fb96bd03
"['segments', 3, 'content', 'text_elements', 0, 'content', 'text']",1,"<br /><br /><strong>Through this initiative, UNDP Sustainable Energy Hub seeks to contribute to the achievement of the 2022-2025 UNDP Strategic Plan’s moonshot </strong>to support 500 million people in accessing clean, sustainable, and affordable energy and to accelerate the energy transition.",79d3efe538790328a978cbc6c12233be3407887d7d2a19e67980ce25253ee527
"['segments', 4, 'content', 'intro']",0,M1: Introduction to Sustainable Energy System Transformation,6bf2c702d4e3ac9f44497b00ce2b69d6c6dba17ad3530bd948ce00d0ac6fec6a
"['segments', 4, 'content', 'title']",0,Objectives,eba92953899468e3f79c084370cc455f39c256e77b5277ff480e3384ff9ecc27
"['segments', 5, 'content', 'text_elements', 0, 'content', 'title']",0,<strong>Shape the narrative of energy as an enabler for development</strong>,1eccb0ff2b8e5ed00440a067500f6169ba9534c6c3207ddbdeec4891a42c6ddc
"['segments', 5, 'content', 'text_elements', 0, 'content', 'body']",0,The Energy Academy plays a crucial role in reshaping the narrative surrounding energy by highlighting its potential as a catalyst for sustainable development.,06f6ea8d2867a145d78d430e6f1c73089c2314045582187366542e32e281ca6b
"['segments', 5, 'content', 'text_elements', 0, 'content', 'body']",1,"By integrating energy with various sectors such as social protection, health, gender equality, governance, digital, finance and climate adaptation and mitigation, we aim to emphasize the transformative power of renewable energy solutions in addressing complex development challenges.",39e0b8663909baf4edea8c248fd67b40d821c69a37fe50fd69cdec495ad08b45
"['segments', 5, 'content', 'text_elements', 1, 'content', 'title']",0,<strong>Position energy as an essential topic in development-centered discussions</strong>,5c366e1baa274d01c3b4dbaa3f6a98af7c9a34fe73271424deaa3314904f19ba
"['segments', 5, 'content', 'text_elements', 1, 'content', 'body']",0,"Through the Sustainable Energy Academy, we aim to position energy at the forefront of development-centered discussions, particularly within the Nationally Determined Contributions (NDCs) framework.",b778604182c01ec2eaf7b27dd865dacfd07156170fdc4bf0b751143e5b7e7dff
"['segments', 5, 'content', 'text_elements', 1, 'content', 'body']",1,"By raising awareness and promoting dialogue on the importance of sustainable energy, UNDP seeks to influence policy and decision-making processes at both national and international levels.",4e0c130be9463779deb4629236189676321a309f6ebf26b0e25636dc6710d0f7
"['segments', 6, 'content', 'text_elements', 0, 'content', 'title']",0,"<strong>Prepare governments on energy solutions, trends, challenges, and opportunities</strong>",405dd46df893ce33cd383c82a6d208a65a1b73bf8df548836e5c18bd847ec428
"['segments', 6, 'content', 'text_elements', 0, 'content', 'body']",0,"The Energy Academy aims to provide countries with the necessary knowledge, skills, and resources to effectively implement energy solutions.",023d5c63de06c664aef165cc3a5f7aa025fcd9a02ab79461e6dd722148cebb80
"['segments', 6, 'content', 'text_elements', 0, 'content', 'body']",1,"By equipping relevant stakeholders, including UNDP staff, local and national governments, civil society, with the expertise to advocate for sustainable energy solutions, they can more effectively influence policy formulation and promote the adoption of innovative approaches to energy planning and implementation.",c5eb81010fda54c06917622df5f5ad6a4df334a68c4c4eada9edd72d79e49169
